orgao,ano,qtd_pedidos_lai,tempo_medio_resposta_dias,percentual_sem_resposta,percentual_acesso_concedido,percentual_acesso_negado,percentual_acesso_parcial,qtd_recursos_lai,taxa_recurso_lai
Administração Taguatinga - RA III,2024,122,2.804784604519774,3.278688524590164,14.754098360655737,8.19672131147541,1.639344262295082,3,0.02459016393442623
Administração Varjão - RA XXIII,2024,29,8.276678240740742,17.24137931034483,41.37931034482759,10.344827586206897,0.0,0,0.0
Administração Vicente Pires - RA XXX,2024,80,3.8993856837606837,2.5,16.25,1.25,6.25,0,0.0
Administração Águas Claras - RA XX,2024,102,2.515065789473684,6.862745098039216,27.450980392156865,1.9607843137254901,2.941176470588235,4,0.0392156862745098
ArPDF - Arquivo Público do Distrito Federal,2024,57,10.8708455165692,0.0,36.84210526315789,3.508771929824561,0.0,0,0.0
BRB - Banco de Brasília S/A,2024,142,7.156906761412576,9.15492957746479,30.28169014084507,14.084507042253522,5.633802816901409,10,0.07042253521126761
CACI - Casa Civil do Distrito Federal,2024,189,,100.0,100.0,0.0,0.0,27,0.14285714285714285
CAESB - Companhia de Saneamento do Distrito Federal,2024,504,5.969641376451078,20.238095238095237,55.952380952380956,18.650793650793652,1.7857142857142856,64,0.12698412698412698
CAMI-Casa Militar do Distrito Federal,2024,43,7.326306216931217,2.3255813953488373,41.86046511627907,13.953488372093023,2.3255813953488373,1,0.023255813953488372
CBMDF - Corpo de Bombeiros Militar do Distrito Federal,2024,494,5.306254208754209,33.198380566801625,93.11740890688259,1.8218623481781375,0.6072874493927125,17,0.03441295546558704
CEASA - Centrais de Abastecimento do Distrito Federal,2024,43,11.880536265432099,16.27906976744186,53.48837209302325,2.3255813953488373,0.0,1,0.023255813953488372
CEB - Companhia Energética de Brasília,2024,201,7.845043103448275,13.432835820895523,25.37313432835821,5.970149253731343,20.8955223880597,17,0.0845771144278607
CGDF - Controladoria-Geral do Distrito Federal,2024,369,8.690562913907286,18.157181571815716,42.81842818428184,7.317073170731707,11.653116531165312,27,0.07317073170731707
CODHAB - Companhia de Desenvolvimento Habitacional do Distrito Federal,2024,319,18.835840352988367,13.166144200626958,76.8025078369906,7.210031347962382,1.8808777429467085,33,0.10344827586206896
