ano,regiao_administrativa,ano_referencia_pdad,populacao_total,populacao_masculina,populacao_feminina,populacao_0_14,populacao_15_59,populacao_60_mais,renda_media_ponderada,idade_media_ponderada,media_moradores_por_domicilio,percentual_baixa_escolaridade,percentual_domicilios_com_internet,percentual_domicilios_proprios,percentual_domicilios_alugados,lai_df_qtd_pedidos_ano,lai_df_qtd_recursos_ano,lai_df_qtd_satisfacoes_ano,lai_df_percentual_pedidos_com_recurso,lai_df_tempo_medio_resposta_dias,lai_df_percentual_acesso_concedido,lai_df_percentual_acesso_negado,lai_df_percentual_acesso_parcial,lai_df_percentual_sem_resposta,lai_df_qtd_orgaos_demandados
2024,Jardim Botânico,2024,62271.0,33469.0,28802.0,10317.999999999998,43789.0,8164.0,1283.0508351169142,36.16255322258671,2.950124688279302,20.9141694634101,99.25187032418953,79.55112219451372,16.95760598503741,23082,1388,2658,5.861710423706785,7.569385669421197,52.90269474049043,9.253964127891864,4.18074690234815,17.689108396152847,96
2025,Jardim Botânico,2024,63186.0,33905.0,29281.0,10301.0,44131.0,8754.0,1283.0508351169142,36.16255322258671,2.950124688279302,20.9141694634101,99.25187032418953,79.55112219451372,16.95760598503741,27256,1293,2110,4.582477252714998,8.049169345015336,53.47079542119167,8.710008805400646,3.6982682712063397,16.667889638978572,96
2023,Lago Norte,2024,38353.0,18514.0,19839.0,5784.000000000001,24606.0,7963.0,2493.7424229266735,39.791253061736484,2.5880893300248133,18.424293520921776,99.25558312655086,69.23076923076923,27.295285359801486,20608,1317,2601,6.298524844720497,8.5845929344974,54.87674689440993,6.885675465838509,3.838315217391304,43.49281832298137,96
2024,Lago Norte,2024,38739.0,18716.0,20023.000000000004,5886.000000000002,24681.0,8172.0,2493.7424229266735,39.791253061736484,2.5880893300248133,18.424293520921776,99.25558312655086,69.23076923076923,27.295285359801486,23082,1388,2658,5.861710423706785,7.569385669421197,52.90269474049043,9.253964127891864,4.18074690234815,17.689108396152847,96
2025,Lago Norte,2024,39095.0,18901.0,20194.0,5998.999999999999,24701.0,8395.0,2493.7424229266735,39.791253061736484,2.5880893300248133,18.424293520921776,99.25558312655086,69.23076923076923,27.295285359801486,27256,1293,2110,4.582477252714998,8.049169345015336,53.47079542119167,8.710008805400646,3.6982682712063397,16.667889638978572,96
2023,Lago Sul,2024,30529.0,14797.0,15732.0,3818.0,18611.0,8100.0,5255.800570216108,44.62885183813831,3.032581453634086,15.564866861456315,99.74937343358395,86.71679197994989,10.526315789473689,20608,1317,2601,6.298524844720497,8.5845929344974,54.87674689440993,6.885675465838509,3.838315217391304,43.49281832298137,96
2024,Lago Sul,2024,30610.0,14857.999999999998,15752.0,3803.999999999999,18484.0,8322.0,5255.800570216108,44.62885183813831,3.032581453634086,15.564866861456315,99.74937343358395,86.71679197994989,10.526315789473689,23082,1388,2658,5.861710423706785,7.569385669421197,52.90269474049043,9.253964127891864,4.18074690234815,17.689108396152847,96
2025,Lago Sul,2024,30652.0,14905.0,15747.0,3794.0,18308.0,8550.0,5255.800570216108,44.62885183813831,3.032581453634086,15.564866861456315,99.74937343358395,86.71679197994989,10.526315789473689,27256,1293,2110,4.582477252714998,8.049169345015336,53.47079542119167,8.710008805400646,3.6982682712063397,16.667889638978572,96
2023,Núcleo Bandeirante,2024,24438.0,11391.0,13046.999999999998,4099.999999999998,16464.0,3874.0,924.9610117004562,37.103175632403264,2.59764705882353,24.71228313035696,92.00000000000003,55.52941176470588,38.117647058823536,20608,1317,2601,6.298524844720497,8.5845929344974,54.87674689440993,6.885675465838509,3.838315217391304,43.49281832298137,96
2024,Núcleo Bandeirante,2024,24569.0,11458.999999999998,13110.0,4094.999999999999,16445.0,4029.0,924.9610117004562,37.103175632403264,2.59764705882353,24.71228313035696,92.00000000000003,55.52941176470588,38.117647058823536,23082,1388,2658,5.861710423706785,7.569385669421197,52.90269474049043,9.253964127891864,4.18074690234815,17.689108396152847,96
2025,Núcleo Bandeirante,2024,24654.0,11508.999999999998,13145.000000000002,4091.000000000001,16380.0,4183.0,924.9610117004562,37.103175632403264,2.59764705882353,24.71228313035696,92.00000000000003,55.52941176470588,38.117647058823536,27256,1293,2110,4.582477252714998,8.049169345015336,53.47079542119167,8.710008805400646,3.6982682712063397,16.667889638978572,96
2023,Paranoá,2024,76049.0,36920.0,39129.0,16487.0,52590.0,6972.0,283.51505013067566,31.73104719006217,2.8706896551724137,36.86126446669505,92.67241379310344,62.50000000000001,30.818965517241377,20608,1317,2601,6.298524844720497,8.5845929344974,54.87674689440993,6.885675465838509,3.838315217391304,43.49281832298137,96
2024,Paranoá,2024,76426.0,37121.0,39305.0,16345.0,52728.0,7353.0,283.51505013067566,31.73104719006217,2.8706896551724137,36.86126446669505,92.67241379310344,62.50000000000001,30.818965517241377,23082,1388,2658,5.861710423706785,7.569385669421197,52.90269474049043,9.253964127891864,4.18074690234815,17.689108396152847,96
2025,Paranoá,2024,76666.0,37255.0,39411.0,16200.0,52731.0,7735.0,283.51505013067566,31.73104719006217,2.8706896551724137,36.86126446669505,92.67241379310344,62.50000000000001,30.818965517241377,27256,1293,2110,4.582477252714998,8.049169345015336,53.47079542119167,8.710008805400646,3.6982682712063397,16.667889638978572,96
2023,Park Way,2024,23828.000000000004,11510.000000000002,12318.0,3419.0000000000027,15566.0,4843.0,3293.71867717986,39.73461865254547,2.9523809523809517,20.61177208757026,98.24561403508771,83.9598997493734,6.265664160401002,20608,1317,2601,6.298524844720497,8.5845929344974,54.87674689440993,6.885675465838509,3.838315217391304,43.49281832298137,96
2024,Park Way,2024,24078.0,11621.0,12457.0,3416.000000000002,15542.0,5120.0,3293.71867717986,39.73461865254547,2.9523809523809517,20.61177208757026,98.24561403508771,83.9598997493734,6.265664160401002,23082,1388,2658,5.861710423706785,7.569385669421197,52.90269474049043,9.253964127891864,4.18074690234815,17.689108396152847,96
2025,Park Way,2024,24294.0,11715.0,12579.0,3417.999999999998,15480.0,5396.0,3293.71867717986,39.73461865254547,2.9523809523809517,20.61177208757026,98.24561403508771,83.9598997493734,6.265664160401002,27256,1293,2110,4.582477252714998,8.049169345015336,53.47079542119167,8.710008805400646,3.6982682712063397,16.667889638978572,96
